@relation MaladiesPredicion

@attribute nomrepas1{poulet_rôti,légumes_sautés,riz_basmati,spaghetti_bolognaise,salade_verte,pain_à_l_ail,saumon_grillé,purée_de_pommes_de_terre,asperges_grillées,koki,eru}
@attribute nomrepas2{poulet_rôti,légumes_sautés,riz_basmati,spaghetti_bolognaise,salade_verte,pain_à_l_ail,saumon_grillé,purée_de_pommes_de_terre,asperges_grillées,koki,eru}
@attribute nomrepas3{poulet_rôti,légumes_sautés,riz_basmati,spaghetti_bolognaise,salade_verte,pain_à_l_ail,saumon_grillé,purée_de_pommes_de_terre,asperges_grillées,koki,eru}
@attribute symptoms{toux,eternuements,mal_de_gorge,fatigue,congestion_nasale,douleur_faciale,maux_de_tête,fièvre,diarrhée,vomissements,nausées,maux_de_ventre}
@attribute nommaladie{Grippe,Rhume,Sinusite,Gastro_entériteastro_entérite}

@data
salade_verte,spaghetti_bolognaise,riz_basmati,fatigue,Grippe
légumes_sautés,spaghetti_bolognaise,purée_de_pommes_de_terre,fatigue,Gastro_entériteastro_entérite
riz_basmati,eru,légumes_sautés,congestion_nasale,Sinusite
salade_verte,poulet_rôti,poulet_rôti,mal_de_gorge,Rhume
salade_verte,spaghetti_bolognaise,pain_à_l_ail,diarrhée,Rhume
spaghetti_bolognaise,saumon_grillé,eru,nausées,Rhume
poulet_rôti,pain_à_l_ail,salade_verte,toux,Sinusite
pain_à_l_ail,eru,spaghetti_bolognaise,diarrhée,Grippe
purée_de_pommes_de_terre,koki,riz_basmati,douleur_faciale,Sinusite
spaghetti_bolognaise,koki,asperges_grillées,nausées,Sinusite
asperges_grillées,salade_verte,riz_basmati,toux,Gastro_entériteastro_entérite
eru,riz_basmati,spaghetti_bolognaise,fatigue,Sinusite
pain_à_l_ail,pain_à_l_ail,riz_basmati,fièvre,Sinusite
salade_verte,légumes_sautés,purée_de_pommes_de_terre,maux_de_ventre,Gastro_entériteastro_entérite
koki,purée_de_pommes_de_terre,salade_verte,congestion_nasale,Rhume
eru,eru,spaghetti_bolognaise,eternuements,Sinusite
koki,poulet_rôti,eru,nausées,Grippe
asperges_grillées,koki,pain_à_l_ail,maux_de_tête,Grippe
légumes_sautés,légumes_sautés,pain_à_l_ail,vomissements,Grippe
eru,saumon_grillé,asperges_grillées,toux,Sinusite
spaghetti_bolognaise,poulet_rôti,riz_basmati,congestion_nasale,Gastro_entériteastro_entérite
koki,riz_basmati,saumon_grillé,toux,Grippe
spaghetti_bolognaise,pain_à_l_ail,salade_verte,eternuements,Grippe
légumes_sautés,saumon_grillé,pain_à_l_ail,mal_de_gorge,Rhume
poulet_rôti,eru,asperges_grillées,fatigue,Sinusite
purée_de_pommes_de_terre,riz_basmati,koki,fièvre,Sinusite
salade_verte,poulet_rôti,asperges_grillées,eternuements,Gastro_entériteastro_entérite
poulet_rôti,eru,asperges_grillées,vomissements,Sinusite
saumon_grillé,koki,eru,nausées,Grippe
